,Unnamed: 0,Video ID,Title,Duration,Upload Date,authorDisplayName,date,likeCount,comment,comment_en,roberta_negative,roberta_neutral,roberta_positive,roberta_label,roberta_polarity,vader_negative,vader_neutral,vader_positive,compound,vader_label,vader_polarity
0,0,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Maskkq,27.02.2025,0.0,Bye cristiano😢,Bye cristiano😢,0.626238,0.31922504,0.054536965,negative,-0.51660746,0.508,0.492,0.0,-0.4767,negative,-0.4683854319827473
1,1,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@AishaRehman-fq1os,12.02.2025,0.0,Stay humble eh😂,Stay humble eh😂,0.054993197,0.46919647,0.47581032,positive,0.3976186,0.162,0.513,0.325,0.4404,neutral,0.1615715962519813
2,2,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@MESS1_FOOTBALL,09.02.2025,1.0,You dropped a pin can i have it and can I have a shoutout vid??? Visça barça,You dropped a pin can i have it and can I have a shoutout vid??? Visça barça,0.012935741,0.88791585,0.09914844,neutral,0.085999735,0.0,1.0,0.0,0.0,neutral,0.0
3,3,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@TheGreat_121,07.02.2025,2.0,THERE WILL BE GOALS<br>THERE WILL BE no GOALS,THERE WILL BE GOALS<br>THERE WILL BE no GOALS,0.22445378,0.47492236,0.30062383,neutral,0.07602309,0.239,0.761,0.0,-0.296,neutral,-0.2345509856135813
4,4,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@TheGreat_121,07.02.2025,1.0,200 likes and 6 comments in 12 days<br>THAT IS A LOT OF LIKES IN 12 DAYS FOR SOMETHING LIKE NIKE,200 likes and 6 comments in 12 days<br>THAT IS A LOT OF LIKES IN 12 DAYS FOR SOMETHING LIKE NIKE,0.07621633,0.65546423,0.26831937,neutral,0.1897743,0.0,0.64,0.36,0.8613,neutral,0.3452140341355209
5,5,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@TheGreat_121,07.02.2025,3.0,&#39;Stay humble eh&#39; ahhh moment,&#39;Stay humble eh&#39; ahhh moment,0.012246688,0.15636717,0.83138615,positive,0.67460126,0.0,1.0,0.0,0.0,neutral,0.0
6,6,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Astro_Not_,26.01.2025,2.0,Despite how cheesy it was at times this was a phenomenal series,Despite how cheesy it was at times this was a phenomenal series,0.067443654,0.12699097,0.80556536,positive,0.62800896,0.0,1.0,0.0,0.0,neutral,0.0
7,7,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@jawadmhmdali,25.01.2025,0.0,Fourth,Fourth,0.0893486,0.54674786,0.36390355,neutral,0.26785812,0.0,1.0,0.0,0.0,neutral,0.0
8,8,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@adirocks76,25.01.2025,1.0,Aight Nike do 5 stages of cristiano ronaldo,Aight Nike do 5 stages of cristiano ronaldo,0.01653757,0.7973276,0.18613483,neutral,0.1679897,0.0,1.0,0.0,0.0,neutral,0.0
9,9,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@olgavaldazo9549,25.01.2025,0.0,Second,Second,0.08459818,0.5324371,0.38296476,neutral,0.2898171,0.0,1.0,0.0,0.0,neutral,0.0
